"","Project.ID","Deployment.Location.ID","Deployment.ID","Treatment.Strata","Latitude","Longitude","Camera.Deployment.Begin.Date","Camera.Deployment.End.Date","Time.Zone","Bait.Type","Feature.Type","Camera.Failure.Details","Quiet.Period.Setting","Camera.Make","Height","Angle","Utm.Code","Utm.Northing","Utm.Easting","Cols","Days","Plot.grp"
"1","Cathedral","CATH08","D1","On-trail",49.1229,-120.04,2019-07-02,2019-08-21,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.53,"Parallel",10,5445342,715966,"#B22028",50,1
"2","Cathedral","CATH08","D2","On-trail",49.1229,-120.04,2019-08-21,2020-05-30,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.53,"Parallel",10,5445342,715966,"#B22028",283,1
"3","Cathedral","CATH09","D1","Off-trail",49.104,-120.038,2019-07-02,2020-09-12,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.75,"Parallel",10,5443243,716151,"#20B2AA",438,1
"4","Cathedral","CATH10","D1","Off-trail",49.1264,-120.094,2019-07-02,2020-05-06,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.76,"Parallel",10,5445570,712033,"#20B2AA",309,1
"5","Cathedral","CATH11","D1","Off-trail",49.1342,-120.137,2019-07-03,2020-10-01,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.48,"Parallel",10,5446320,708803,"#20B2AA",456,1
"6","Cathedral","CATH12","D1","On-trail",49.1253,-120.108,2019-07-04,2020-07-06,"UTC-7","None","Road, dirt","",0,"Reconyx HP2X",0.65,"Parallel",10,5445418,710987,"#B22028",368,1
"7","Cathedral","CATH12","D2","On-trail",49.1253,-120.108,2020-07-06,2020-10-01,"UTC-7","None","Road, dirt","",0,"Reconyx HP2X",0.65,"Parallel",10,5445418,710987,"#B22028",87,1
"8","Cathedral","CATH13","D1","On-trail",49.0562,-120.198,2019-07-03,2019-10-02,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.8,"Parallel",10,5437488,704738,"#B22028",91,1
"9","Cathedral","CATH13b","D1","On-trail",49.05621,-120.198,2019-10-02,2020-07-06,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.62,"Parallel",10,5437485.56,704703.23,"#B22028",278,1
"10","Cathedral","CATH14","D1","Off-trail",49.0544,-120.214,2019-07-03,2019-10-02,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.5,"Parallel",10,5437244,703572,"#20B2AA",91,1
"11","Cathedral","CATH14","D2","Off-trail",49.0544,-120.214,2019-10-02,2020-07-06,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.5,"Parallel",10,5437244,703572,"#20B2AA",278,1
"12","Cathedral","CATH14","D3","Off-trail",49.0544,-120.214,2020-07-06,2020-08-10,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.5,"Parallel",10,5437244,703572,"#20B2AA",35,1
"13","Cathedral","CATH15","D1","Off-trail",49.0525,-120.225,2019-07-03,2020-06-28,"UTC-7","None","Trail, game","Camera Hardware Malfunction",0,"Reconyx HP2X",0.4,"Parallel",10,5436998,702746,"#20B2AA",361,1
"14","Cathedral","CATH15","D2","Off-trail",49.0525,-120.225,2020-07-06,2020-09-30,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.4,"Parallel",10,5436998,702746,"#20B2AA",86,1
"15","Cathedral","CATH16","D1","Off-trail",49.0807,-120.242,2019-07-04,2020-08-12,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.4,"Parallel",10,5440086,701400,"#20B2AA",405,1
"16","Cathedral","CATH17","D1","Off-trail",49.0434,-120.189,2019-07-02,2019-10-02,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",1.5,"Parallel",10,5436082,705386,"#20B2AA",92,1
"17","Cathedral","CATH17","D2","Off-trail",49.0434,-120.189,2019-10-02,2020-08-11,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",1.5,"Parallel",10,5436082,705386,"#20B2AA",314,1
"18","Cathedral","CATH18","D1","On-trail",49.0516,-120.189,2019-07-03,2019-10-02,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.42,"Parallel",10,5437001,705395,"#B22028",91,1
"19","Cathedral","CATH18","D2","On-trail",49.0516,-120.189,2019-10-02,2020-08-11,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.42,"Parallel",10,5437001,705395,"#B22028",314,1
"20","Cathedral","CATH19","D1","On-trail",49.0622,-120.19,2019-07-03,2019-10-02,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.77,"Parallel",10,5438179,705267,"#B22028",91,1
"21","Cathedral","CATH19","D2","On-trail",49.0622,-120.19,2019-10-02,2020-07-07,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.77,"Parallel",10,5438179,705267,"#B22028",279,1
"22","Cathedral","CATH20","D1","On-trail",49.0792,-120.21,2019-07-02,2019-10-01,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.65,"Parallel",10,5440003,703703,"#B22028",91,1
"23","Cathedral","CATH20","D2","On-trail",49.0792,-120.21,2019-10-01,2020-07-08,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.65,"Parallel",10,5440003,703703,"#B22028",281,1
"24","Cathedral","CATH21","D1","On-trail",49.0664,-120.247,2019-07-04,2020-07-22,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.6,"Parallel",10,5438483,701058,"#B22028",384,1
"25","Cathedral","CATH22","D1","On-trail",49.0852,-120.192,2019-07-04,2019-10-01,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.66,"Parallel",10,5440724,705033,"#B22028",89,1
"26","Cathedral","CATH22","D2","On-trail",49.0852,-120.192,2019-10-01,2020-07-08,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.66,"Parallel",10,5440724,705033,"#B22028",281,1
"27","Cathedral","CATH23","D1","Off-trail",49.0941,-120.188,2019-07-04,2019-10-01,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.56,"Parallel",10,5441729,705297,"#20B2AA",89,1
"28","Cathedral","CATH23","D2","Off-trail",49.0941,-120.188,2019-10-01,2020-07-08,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.56,"Parallel",10,5441729,705297,"#20B2AA",281,1
"29","Cathedral","CATH24","D1","On-trail",49.0936,-120.173,2019-07-04,2020-07-08,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.72,"Parallel",10,5441706,706405,"#B22028",370,1
"30","Cathedral","CATH25","D1","Off-trail",49.0859,-120.215,2019-07-04,2020-07-08,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.38,"Parallel",10,5440742,703306,"#20B2AA",370,1
"31","Cathedral","CATH26","D1","On-trail",49.0346,-120.177,2019-07-05,2019-10-02,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.76,"Parallel",10,5435146,706337,"#B22028",89,1
"32","Cathedral","CATH26","D2","On-trail",49.0346,-120.177,2019-10-02,2020-07-07,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.76,"Parallel",10,5435146,706337,"#B22028",279,1
"33","Cathedral","CATH27","D1","Off-trail",49.0538,-120.26,2019-07-04,2020-07-22,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",1.75,"Parallel",10,5437059,700194,"#20B2AA",384,2
"34","Cathedral","CATH28","D1","On-trail",49.061,-120.259,2019-07-04,2020-07-22,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.5,"Parallel",10,5437862,700264,"#B22028",384,2
"35","Cathedral","CATH29","D1","On-trail",49.0851,-120.171,2019-07-05,2019-09-30,"UTC-7","None","Road, dirt","",0,"Reconyx HP2X",0.87,"Parallel",10,5440770.97,706555,"#B22028",87,2
"36","Cathedral","CATH29","D2","On-trail",49.0851,-120.171,2019-09-30,2020-07-06,"UTC-7","None","Road, dirt","",0,"Reconyx HP2X",0.87,"Parallel",10,5440770.97,706555,"#B22028",280,2
"37","Cathedral","CATH30","D1","Off-trail",49.0253,-120.175,2019-07-05,2020-07-07,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.83,"Parallel",10,5434119,706534,"#20B2AA",368,2
"38","Cathedral","CATH31","D1","On-trail",49.0468,-120.298,2019-08-19,2020-05-05,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",1.2,"Parallel",10,5436177,697420,"#B22028",260,2
"39","Cathedral","CATH31","D2","On-trail",49.0468,-120.298,2020-05-05,2020-07-22,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",1.2,"Parallel",10,5436177,697420,"#B22028",78,2
"40","Cathedral","CATH32","D1","On-trail",49.0531,-120.182,2019-07-05,2019-10-02,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.9,"Parallel",10,5437184.32,705884,"#B22028",89,2
"41","Cathedral","CATH32","D2","On-trail",49.0531,-120.182,2019-10-02,2020-07-07,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.9,"Parallel",10,5437184.32,705884,"#B22028",279,2
"42","Cathedral","CATH33","D1","Off-trail",49.041,-120.178,2019-07-05,2019-10-02,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.6,"Parallel",10,5435854,706239,"#20B2AA",89,2
"43","Cathedral","CATH33","D2","Off-trail",49.041,-120.178,2019-10-02,2020-07-07,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.6,"Parallel",10,5435854,706239,"#20B2AA",279,2
"44","Cathedral","CATH34","D1","Off-trail",49.055,-120.308,2019-08-19,2020-05-05,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",1,"Parallel",10,5437064,696705,"#20B2AA",260,2
"45","Cathedral","CATH35","D1","On-trail",49.0611,-120.329,2019-08-19,2020-05-05,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.8,"Parallel",10,5437690,695128,"#B22028",260,2
"46","Cathedral","CATH35","D2","On-trail",49.0611,-120.329,2020-05-05,2020-07-22,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",0.8,"Parallel",10,5437690,695128,"#B22028",78,2
"47","Cathedral","CATH36","D1","Off-trail",49.1439,-120.238,2019-08-20,2020-07-11,"UTC-7","None","Trail, game","Wildlife Damage",0,"Reconyx HP2X",1,"Parallel",10,5447130,701436,"#20B2AA",326,2
"48","Cathedral","CATH37","D1","Off-trail",49.0878,-120.319,2019-08-20,2020-09-29,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",NA,"Parallel",10,5440681,695766,"#20B2AA",406,2
"49","Cathedral","CATH38","D1","Off-trail",49.1287,-120.299,2019-08-20,2020-09-29,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",NA,"Parallel",10,5445273,697032,"#20B2AA",406,2
"50","Cathedral","CATH39","D1","Off-trail",49.1492,-120.2,2019-08-20,2020-09-29,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.85,"Parallel",10,5447817,704160,"#20B2AA",406,2
"51","Cathedral","CATH40","D1","Off-trail",49.0987,-120.031,2019-08-21,2020-09-12,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.6,"Parallel",10,5442673,716703,"#20B2AA",388,2
"52","Cathedral","CATH41","D1","On-trail",49.0716,-120.039,2019-08-21,2020-09-12,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",1.2,"Parallel",10,5439635,716248,"#B22028",388,2
"53","Cathedral","CATH42","D1","Off-trail",49.0688,-120.059,2019-08-21,2020-09-12,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",1.3,"Parallel",10,5439272,714816,"#20B2AA",388,2
"54","Cathedral","CATH43","D1","On-trail",49.0622,-120.09,2019-08-21,2020-09-12,"UTC-7","None","Trail, hiking/people","",0,"Reconyx HP2X",1,"Parallel",10,5438454,712554,"#B22028",388,2
"55","Cathedral","CATH44","D1","Off-trail",49.0627,-120.123,2019-08-21,2020-09-13,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.3,"Parallel",10,5438416,710119,"#20B2AA",389,2
"56","Cathedral","CATH45","D1","Off-trail",49.0713,-120.137,2019-08-22,2020-09-13,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.5,"Parallel",10,5439330,709114,"#20B2AA",388,2
"57","Cathedral","CATH46","D1","Off-trail",49.0765,-120.104,2019-08-22,2020-09-13,"UTC-7","None","Trail, game","",0,"Reconyx HP2X",0.3,"Parallel",10,5440004,711512,"#20B2AA",388,2
